bing	1.000	0.800	0.400	0.200	0.800	0.800	0.333	0.800	0.533	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.185	0.185	0.837	1.000	0.764	0.644	1.000	
data mining	1.000	1.000	0.900	0.017	0.085	0.153	0.033	0.156	0.261	1.000	1.000	0.750	0.581	0.453	0.376	0.340	0.168	0.164	0.124	0.098	0.432	0.700	0.556	0.541	1.000	
google	1.000	0.800	0.400	0.200	0.800	0.800	0.333	0.800	0.533	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.455	0.455	0.891	1.000	0.724	0.657	1.000	
salsa	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	�	0.000	0.000	0.000	1.000	
web search	0.000	0.600	0.500	0.000	0.050	0.083	0.000	0.092	0.143	0.611	0.611	0.591	0.526	0.475	0.437	0.404	0.404	0.176	0.097	0.092	0.384	�	0.581	0.586	0.333	
